#PROJECT_DESCRIPTION=New experiment for element analysis of apples
#ALTERNATIVE_NAME=
#INVESTIGATOR=
#CONTACT=
#MANAGER=
#EXP QVGVNE1:Q_EXPERIMENTAL_DESIGN:{Q_SECONDARY_NAME=2018-05-15_UVB134679}
#EXP QVGVNE2:Q_SAMPLE_EXTRACTION:{Q_SECONDARY_NAME=2018-05-15-258852}
Identifier	SAMPLE TYPE	SPACE	EXPERIMENT	Q_SECONDARY_NAME	PARENT	Q_PRIMARY_TISSUE	Q_TISSUE_DETAILED	Q_ADDITIONAL_INFO	Q_NCBI_ORGANISM	Q_SAMPLE_TYPE	Q_EXTERNALDB_ID	Condition: genotype	Condition: phenotype	Condition: species	Condition: extraction_time	Condition: growth_medium
QVGVNENTITY-30	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen3 ; volume ; Rosa wichurana					74648			gen3	volume	Rosa wichurana		
QVGVNENTITY-31	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen3 ; volume ; Escherichia coli					562			gen3	volume	Escherichia coli		
QVGVNENTITY-32	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen3 ; volume ; Brassica oleracea var. viridis					3713			gen3	volume	Brassica oleracea var. viridis		
QVGVNENTITY-33	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen3 ; weigh ; Cavia aperea					37548			gen3	weigh	Cavia aperea		
QVGVNENTITY-34	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen3 ; weigh ; Rosa wichurana					74648			gen3	weigh	Rosa wichurana		
QVGVNENTITY-35	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen3 ; weigh ; Escherichia coli					562			gen3	weigh	Escherichia coli		
QVGVNENTITY-36	Q_BIOLOGICAL_ENTITY	2018-3-0001	QVGVNE1	gen3 ; weigh ; Brassica oleracea var. viridis					3713			gen3	weigh	Brassica oleracea var. viridis		
QVGVN001AD	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Cavia aperea ; extract1 ; medium1	QVGVNENTITY-1	AUXILLARY_BUD						gen1	colour	Cavia aperea	extract1	medium1
QVGVN002AL	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Cavia aperea ; extract1 ; medium2	QVGVNENTITY-1	AUXILLARY_BUD						gen1	colour	Cavia aperea	extract1	medium2
QVGVN003AT	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Cavia aperea ; extract1 ; medium3	QVGVNENTITY-1	AUXILLARY_BUD						gen1	colour	Cavia aperea	extract1	medium3
QVGVN004A3	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Cavia aperea ; extract2 ; medium1	QVGVNENTITY-1	AUXILLARY_BUD						gen1	colour	Cavia aperea	extract2	medium1
QVGVN005AB	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Cavia aperea ; extract2 ; medium2	QVGVNENTITY-1	AUXILLARY_BUD						gen1	colour	Cavia aperea	extract2	medium2
QVGVN006AJ	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Cavia aperea ; extract2 ; medium3	QVGVNENTITY-1	AUXILLARY_BUD						gen1	colour	Cavia aperea	extract2	medium3
QVGVN007AR	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Rosa wichurana ; extract1 ; medium1	QVGVNENTITY-2	AUXILLARY_BUD						gen1	colour	Rosa wichurana	extract1	medium1
QVGVN008A1	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Rosa wichurana ; extract1 ; medium2	QVGVNENTITY-2	AUXILLARY_BUD						gen1	colour	Rosa wichurana	extract1	medium2
QVGVN009A9	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Rosa wichurana ; extract1 ; medium3	QVGVNENTITY-2	AUXILLARY_BUD						gen1	colour	Rosa wichurana	extract1	medium3
QVGVN010AC	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Rosa wichurana ; extract2 ; medium1	QVGVNENTITY-2	AUXILLARY_BUD						gen1	colour	Rosa wichurana	extract2	medium1
QVGVN011AK	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Rosa wichurana ; extract2 ; medium2	QVGVNENTITY-2	AUXILLARY_BUD						gen1	colour	Rosa wichurana	extract2	medium2
QVGVN012AS	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Rosa wichurana ; extract2 ; medium3	QVGVNENTITY-2	AUXILLARY_BUD						gen1	colour	Rosa wichurana	extract2	medium3
QVGVN013A2	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Escherichia coli ; extract1 ; medium1	QVGVNENTITY-3	AUXILLARY_BUD						gen1	colour	Escherichia coli	extract1	medium1
QVGVN014AA	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Escherichia coli ; extract1 ; medium2	QVGVNENTITY-3	AUXILLARY_BUD						gen1	colour	Escherichia coli	extract1	medium2
QVGVN015AI	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Escherichia coli ; extract1 ; medium3	QVGVNENTITY-3	AUXILLARY_BUD						gen1	colour	Escherichia coli	extract1	medium3
QVGVN016AQ	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Escherichia coli ; extract2 ; medium1	QVGVNENTITY-3	AUXILLARY_BUD						gen1	colour	Escherichia coli	extract2	medium1
QVGVN017A0	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Escherichia coli ; extract2 ; medium2	QVGVNENTITY-3	AUXILLARY_BUD						gen1	colour	Escherichia coli	extract2	medium2
QVGVN018A8	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Escherichia coli ; extract2 ; medium3	QVGVNENTITY-3	AUXILLARY_BUD						gen1	colour	Escherichia coli	extract2	medium3
QVGVN019AG	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Brassica oleracea var. viridis ; extract1 ; medium1	QVGVNENTITY-4	AUXILLARY_BUD						gen1	colour	Brassica oleracea var. viridis	extract1	medium1
QVGVN020AJ	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Brassica oleracea var. viridis ; extract1 ; medium2	QVGVNENTITY-4	AUXILLARY_BUD						gen1	colour	Brassica oleracea var. viridis	extract1	medium2
QVGVN021AR	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Brassica oleracea var. viridis ; extract1 ; medium3	QVGVNENTITY-4	AUXILLARY_BUD						gen1	colour	Brassica oleracea var. viridis	extract1	medium3
QVGVN022A1	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Brassica oleracea var. viridis ; extract2 ; medium1	QVGVNENTITY-4	AUXILLARY_BUD						gen1	colour	Brassica oleracea var. viridis	extract2	medium1
QVGVN023A9	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Brassica oleracea var. viridis ; extract2 ; medium2	QVGVNENTITY-4	AUXILLARY_BUD						gen1	colour	Brassica oleracea var. viridis	extract2	medium2
QVGVN024AH	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; colour ; Brassica oleracea var. viridis ; extract2 ; medium3	QVGVNENTITY-4	AUXILLARY_BUD						gen1	colour	Brassica oleracea var. viridis	extract2	medium3
QVGVN025AP	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Cavia aperea ; extract1 ; medium1	QVGVNENTITY-5	AUXILLARY_BUD						gen1	volume	Cavia aperea	extract1	medium1
QVGVN026AX	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Cavia aperea ; extract1 ; medium2	QVGVNENTITY-5	AUXILLARY_BUD						gen1	volume	Cavia aperea	extract1	medium2
QVGVN027A7	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Cavia aperea ; extract1 ; medium3	QVGVNENTITY-5	AUXILLARY_BUD						gen1	volume	Cavia aperea	extract1	medium3
QVGVN028AF	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Cavia aperea ; extract2 ; medium1	QVGVNENTITY-5	AUXILLARY_BUD						gen1	volume	Cavia aperea	extract2	medium1
QVGVN029AN	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Cavia aperea ; extract2 ; medium2	QVGVNENTITY-5	AUXILLARY_BUD						gen1	volume	Cavia aperea	extract2	medium2
QVGVN030AQ	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Cavia aperea ; extract2 ; medium3	QVGVNENTITY-5	AUXILLARY_BUD						gen1	volume	Cavia aperea	extract2	medium3
QVGVN031A0	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Rosa wichurana ; extract1 ; medium1	QVGVNENTITY-6	AUXILLARY_BUD						gen1	volume	Rosa wichurana	extract1	medium1
QVGVN032A8	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Rosa wichurana ; extract1 ; medium2	QVGVNENTITY-6	AUXILLARY_BUD						gen1	volume	Rosa wichurana	extract1	medium2
QVGVN033AG	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Rosa wichurana ; extract1 ; medium3	QVGVNENTITY-6	AUXILLARY_BUD						gen1	volume	Rosa wichurana	extract1	medium3
QVGVN034AO	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Rosa wichurana ; extract2 ; medium1	QVGVNENTITY-6	AUXILLARY_BUD						gen1	volume	Rosa wichurana	extract2	medium1
QVGVN035AW	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Rosa wichurana ; extract2 ; medium2	QVGVNENTITY-6	AUXILLARY_BUD						gen1	volume	Rosa wichurana	extract2	medium2
QVGVN036A6	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Rosa wichurana ; extract2 ; medium3	QVGVNENTITY-6	AUXILLARY_BUD						gen1	volume	Rosa wichurana	extract2	medium3
QVGVN037AE	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Escherichia coli ; extract1 ; medium1	QVGVNENTITY-7	AUXILLARY_BUD						gen1	volume	Escherichia coli	extract1	medium1
QVGVN038AM	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Escherichia coli ; extract1 ; medium2	QVGVNENTITY-7	AUXILLARY_BUD						gen1	volume	Escherichia coli	extract1	medium2
QVGVN039AU	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Escherichia coli ; extract1 ; medium3	QVGVNENTITY-7	AUXILLARY_BUD						gen1	volume	Escherichia coli	extract1	medium3
QVGVN040AX	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Escherichia coli ; extract2 ; medium1	QVGVNENTITY-7	AUXILLARY_BUD						gen1	volume	Escherichia coli	extract2	medium1
QVGVN041A7	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Escherichia coli ; extract2 ; medium2	QVGVNENTITY-7	AUXILLARY_BUD						gen1	volume	Escherichia coli	extract2	medium2
QVGVN042AF	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Escherichia coli ; extract2 ; medium3	QVGVNENTITY-7	AUXILLARY_BUD						gen1	volume	Escherichia coli	extract2	medium3
QVGVN043AN	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Brassica oleracea var. viridis ; extract1 ; medium1	QVGVNENTITY-8	AUXILLARY_BUD						gen1	volume	Brassica oleracea var. viridis	extract1	medium1
QVGVN044AV	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Brassica oleracea var. viridis ; extract1 ; medium2	QVGVNENTITY-8	AUXILLARY_BUD						gen1	volume	Brassica oleracea var. viridis	extract1	medium2
QVGVN045A5	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Brassica oleracea var. viridis ; extract1 ; medium3	QVGVNENTITY-8	AUXILLARY_BUD						gen1	volume	Brassica oleracea var. viridis	extract1	medium3
QVGVN046AD	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Brassica oleracea var. viridis ; extract2 ; medium1	QVGVNENTITY-8	AUXILLARY_BUD						gen1	volume	Brassica oleracea var. viridis	extract2	medium1
QVGVN047AL	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Brassica oleracea var. viridis ; extract2 ; medium2	QVGVNENTITY-8	AUXILLARY_BUD						gen1	volume	Brassica oleracea var. viridis	extract2	medium2
QVGVN048AT	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; volume ; Brassica oleracea var. viridis ; extract2 ; medium3	QVGVNENTITY-8	AUXILLARY_BUD						gen1	volume	Brassica oleracea var. viridis	extract2	medium3
QVGVN049A3	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Cavia aperea ; extract1 ; medium1	QVGVNENTITY-9	AUXILLARY_BUD						gen1	weigh	Cavia aperea	extract1	medium1
QVGVN050A6	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Cavia aperea ; extract1 ; medium2	QVGVNENTITY-9	AUXILLARY_BUD						gen1	weigh	Cavia aperea	extract1	medium2
QVGVN051AE	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Cavia aperea ; extract1 ; medium3	QVGVNENTITY-9	AUXILLARY_BUD						gen1	weigh	Cavia aperea	extract1	medium3
QVGVN052AM	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Cavia aperea ; extract2 ; medium1	QVGVNENTITY-9	AUXILLARY_BUD						gen1	weigh	Cavia aperea	extract2	medium1
QVGVN053AU	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Cavia aperea ; extract2 ; medium2	QVGVNENTITY-9	AUXILLARY_BUD						gen1	weigh	Cavia aperea	extract2	medium2
QVGVN054A4	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Cavia aperea ; extract2 ; medium3	QVGVNENTITY-9	AUXILLARY_BUD						gen1	weigh	Cavia aperea	extract2	medium3
QVGVN055AC	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Rosa wichurana ; extract1 ; medium1	QVGVNENTITY-10	AUXILLARY_BUD						gen1	weigh	Rosa wichurana	extract1	medium1
QVGVN056AK	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Rosa wichurana ; extract1 ; medium2	QVGVNENTITY-10	AUXILLARY_BUD						gen1	weigh	Rosa wichurana	extract1	medium2
QVGVN057AS	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Rosa wichurana ; extract1 ; medium3	QVGVNENTITY-10	AUXILLARY_BUD						gen1	weigh	Rosa wichurana	extract1	medium3
QVGVN058A2	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Rosa wichurana ; extract2 ; medium1	QVGVNENTITY-10	AUXILLARY_BUD						gen1	weigh	Rosa wichurana	extract2	medium1
QVGVN059AA	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Rosa wichurana ; extract2 ; medium2	QVGVNENTITY-10	AUXILLARY_BUD						gen1	weigh	Rosa wichurana	extract2	medium2
QVGVN060AD	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Rosa wichurana ; extract2 ; medium3	QVGVNENTITY-10	AUXILLARY_BUD						gen1	weigh	Rosa wichurana	extract2	medium3
QVGVN061AL	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Escherichia coli ; extract1 ; medium1	QVGVNENTITY-11	AUXILLARY_BUD						gen1	weigh	Escherichia coli	extract1	medium1
QVGVN062AT	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Escherichia coli ; extract1 ; medium2	QVGVNENTITY-11	AUXILLARY_BUD						gen1	weigh	Escherichia coli	extract1	medium2
QVGVN063A3	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Escherichia coli ; extract1 ; medium3	QVGVNENTITY-11	AUXILLARY_BUD						gen1	weigh	Escherichia coli	extract1	medium3
QVGVN064AB	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Escherichia coli ; extract2 ; medium1	QVGVNENTITY-11	AUXILLARY_BUD						gen1	weigh	Escherichia coli	extract2	medium1
QVGVN065AJ	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Escherichia coli ; extract2 ; medium2	QVGVNENTITY-11	AUXILLARY_BUD						gen1	weigh	Escherichia coli	extract2	medium2
QVGVN066AR	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Escherichia coli ; extract2 ; medium3	QVGVNENTITY-11	AUXILLARY_BUD						gen1	weigh	Escherichia coli	extract2	medium3
QVGVN067A1	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Brassica oleracea var. viridis ; extract1 ; medium1	QVGVNENTITY-12	AUXILLARY_BUD						gen1	weigh	Brassica oleracea var. viridis	extract1	medium1
QVGVN068A9	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Brassica oleracea var. viridis ; extract1 ; medium2	QVGVNENTITY-12	AUXILLARY_BUD						gen1	weigh	Brassica oleracea var. viridis	extract1	medium2
QVGVN069AH	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Brassica oleracea var. viridis ; extract1 ; medium3	QVGVNENTITY-12	AUXILLARY_BUD						gen1	weigh	Brassica oleracea var. viridis	extract1	medium3
QVGVN070AK	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Brassica oleracea var. viridis ; extract2 ; medium1	QVGVNENTITY-12	AUXILLARY_BUD						gen1	weigh	Brassica oleracea var. viridis	extract2	medium1
QVGVN071AS	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Brassica oleracea var. viridis ; extract2 ; medium2	QVGVNENTITY-12	AUXILLARY_BUD						gen1	weigh	Brassica oleracea var. viridis	extract2	medium2
QVGVN072A2	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen1 ; weigh ; Brassica oleracea var. viridis ; extract2 ; medium3	QVGVNENTITY-12	AUXILLARY_BUD						gen1	weigh	Brassica oleracea var. viridis	extract2	medium3
QVGVN073AA	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Cavia aperea ; extract1 ; medium1	QVGVNENTITY-13	AUXILLARY_BUD						gen2	colour	Cavia aperea	extract1	medium1
QVGVN074AI	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Cavia aperea ; extract1 ; medium2	QVGVNENTITY-13	AUXILLARY_BUD						gen2	colour	Cavia aperea	extract1	medium2
QVGVN075AQ	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Cavia aperea ; extract1 ; medium3	QVGVNENTITY-13	AUXILLARY_BUD						gen2	colour	Cavia aperea	extract1	medium3
QVGVN076A0	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Cavia aperea ; extract2 ; medium1	QVGVNENTITY-13	AUXILLARY_BUD						gen2	colour	Cavia aperea	extract2	medium1
QVGVN077A8	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Cavia aperea ; extract2 ; medium2	QVGVNENTITY-13	AUXILLARY_BUD						gen2	colour	Cavia aperea	extract2	medium2
QVGVN078AG	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Cavia aperea ; extract2 ; medium3	QVGVNENTITY-13	AUXILLARY_BUD						gen2	colour	Cavia aperea	extract2	medium3
QVGVN079AO	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Rosa wichurana ; extract1 ; medium1	QVGVNENTITY-14	AUXILLARY_BUD						gen2	colour	Rosa wichurana	extract1	medium1
QVGVN080AR	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Rosa wichurana ; extract1 ; medium2	QVGVNENTITY-14	AUXILLARY_BUD						gen2	colour	Rosa wichurana	extract1	medium2
